luxury,tranquility,safety,accessibility,security,overall_sentiment,original_index
8,7,7,8,8,8,163
8,7,8,9,8,8,164
8,7,9,8,9,8,165
5,7,8,7,7,7,166
2,5,6,7,6,5,167
4,8,7,6,7,6,168
2,5,7,4,6,5,169
4,6,7,8,7,6,170
9,8,7,6,8,8,173
8,8,7,8,8,8,174
8,7,8,8,9,8,177
2,4,6,7,5,5,178
6,7,8,7,8,7,179
7,8,8,7,7,7,180
7,8,7,8,7,7,181
8,8,9,7,8,8,182
7,8,8,7,8,8,183
8,7,8,9,8,8,184
3,7,6,8,7,7,187
8,7,7,8,8,7,189
3,4,6,5,5,5,191
2,5,6,7,6,5,192
4,7,6,8,8,7,194
9,8,8,9,9,8,195
4,8,7,6,7,7,197
8,7,9,7,8,8,198
3,7,8,6,5,6,199
8,7,8,6,7,7,200
2,1,4,6,5,4,201
2,5,7,6,5,5,202
2,6,7,8,7,6,203
3,5,7,8,6,6,206
7,8,8,8,7,7,207
7,8,8,7,7,7,209
8,7,7,8,8,7,210
7,8,6,5,7,7,211
7,8,9,7,8,8,212
5,7,8,8,7,7,214
5,7,6,8,7,6,216
2,4,6,7,7,5,217
6,8,7,8,7,7,219
8,5,7,6,8,7,220
6,4,7,8,7,7,221
7,6,8,9,7,7,222
3,7,6,8,8,7,226
4,6,7,8,7,6,227
3,4,7,6,5,5,228
8,7,7,8,7,7,229
8,7,8,9,8,8,230
5,8,7,6,8,7,231
9,8,7,9,8,8,232
5,7,6,8,8,7,234
4,7,8,6,7,7,236
3,5,7,6,4,5,237
7,8,8,7,8,7,239
4,6,8,7,7,7,240
8,7,8,9,7,8,241
8,7,8,9,8,8,242
7,8,6,7,8,7,244
6,7,8,7,8,7,247
6,7,8,8,7,7,250
6,8,7,5,6,7,251
6,7,8,8,7,7,253
8,7,7,8,8,8,254
7,8,6,8,7,7,255
2,7,8,6,5,6,256
2,8,6,7,5,6,257
9,8,7,6,8,8,258
7,5,6,8,7,7,261
4,7,8,6,8,7,262
5,8,7,9,6,7,263
6,5,7,8,8,7,264
2,7,6,8,8,6,267
7,8,8,7,8,8,269
8,9,7,8,7,8,270
3,7,8,6,7,7,272
7,5,6,8,7,7,273
9,8,7,9,8,8,275
6,7,8,7,8,7,276
2,5,7,2,4,4,277
6,7,8,7,8,7,278
8,6,7,8,7,7,279
3,5,7,5,6,5,280
8,7,9,8,8,8,281
7,8,6,5,7,7,282
5,7,8,6,7,6,283
8,9,7,8,8,8,285
8,6,7,9,8,7,286
3,2,4,5,6,4,289
6,7,8,8,7,7,290
8,7,6,8,7,7,291
7,8,7,8,7,7,292
8,7,7,8,8,8,294
5,4,6,8,7,7,295
6,8,7,8,7,7,298
7,8,7,6,8,7,299
9,8,7,8,9,8,300
7,8,8,7,8,8,301
8,7,9,8,8,8,302
7,8,8,7,7,7,303
8,7,9,8,9,8,304
7,6,8,8,7,7,305
7,8,8,7,8,8,306
6,7,8,8,7,7,307
7,6,8,7,7,7,308
8,7,8,6,7,8,309
6,5,7,6,5,6,310
6,8,7,7,8,7,311
7,5,7,9,8,7,312
2,8,7,6,5,6,313
3,6,8,7,7,7,314
6,7,8,8,7,7,315
6,8,7,8,7,7,316
6,7,8,8,7,7,317
7,8,8,7,9,8,318
4,7,6,8,6,6,320
6,7,8,6,7,7,321
2,7,8,5,7,6,322
8,7,8,6,7,7,323
8,7,8,7,8,8,325
7,8,6,8,7,7,326
7,8,8,7,7,7,327
3,7,6,8,7,7,328
8,7,9,8,8,8,329
8,7,8,9,8,8,330
8,7,9,8,9,8,331
3,5,7,6,8,6,332
8,6,7,5,8,7,335
8,7,8,7,8,8,336
8,7,9,8,7,8,337
5,7,8,6,7,7,339
8,7,8,9,8,8,342
5,7,8,6,7,6,343
2,5,7,6,6,5,344
2,3,5,7,6,4,345
5,7,8,6,7,6,348
7,8,8,8,9,8,349
5,8,7,6,8,7,350
3,5,7,6,5,5,351
2,7,6,8,7,6,353
7,8,8,7,7,7,355
4,5,7,8,6,6,356
2,4,5,6,3,4,357
6,5,7,8,8,7,358
7,8,8,9,8,8,359
5,7,8,8,7,7,360
7,6,8,7,7,7,361
8,7,8,9,8,8,363
5,7,6,8,6,6,364
8,9,9,7,8,8,365
7,8,8,9,9,8,366
3,4,7,6,5,5,368
7,8,8,7,7,7,369
3,7,8,6,7,7,370
3,6,7,8,8,6,371
3,7,8,6,8,7,372
8,7,8,8,9,8,373
6,7,8,8,7,7,374
8,7,8,6,8,7,375
7,8,8,7,7,7,379
2,5,7,6,4,5,380
4,7,6,8,7,6,381
4,3,6,7,5,5,382
8,7,8,7,8,8,383
5,8,7,9,8,7,384
7,8,8,7,7,7,385
6,4,7,8,8,7,386
7,6,8,8,7,7,387
7,9,8,6,7,7,388
7,9,8,8,8,8,390
5,7,8,7,6,7,395
8,7,7,8,9,8,397
6,4,8,7,7,7,399
8,7,8,9,8,8,400
5,7,8,6,8,7,401
7,5,6,8,7,7,402
5,4,7,6,8,6,403
7,8,7,8,8,8,404
7,8,9,7,8,8,406
7,8,8,8,7,8,408
5,7,8,6,7,6,409
5,6,7,8,8,7,411
5,7,8,6,7,7,412
7,5,8,9,8,7,413
7,8,8,9,8,8,414
7,8,8,7,8,7,415
3,4,7,8,6,6,416
5,6,7,8,9,7,417
3,7,6,8,5,6,419
4,7,6,8,7,7,420
6,8,7,5,8,7,421
5,7,8,6,7,7,422
5,7,8,6,6,6,423
8,7,8,9,8,8,424
7,8,8,7,6,8,425
7,5,6,8,8,6,426
6,5,7,8,7,6,430
8,7,8,7,8,8,431
8,7,8,9,8,8,432
4,6,7,5,6,6,433
5,6,7,8,8,7,436
7,8,8,6,7,7,437
7,8,8,6,7,7,439
4,5,7,8,6,6,440
7,8,7,8,8,7,441
4,6,7,8,8,7,443
8,7,8,9,9,8,444
8,7,8,9,9,8,446
8,7,8,9,8,8,447
7,8,8,6,9,8,448
8,7,8,8,9,8,449
7,8,9,7,8,8,453
5,7,6,8,8,7,454
6,7,8,7,8,8,457
7,8,8,7,7,8,458
7,8,6,7,8,7,461
7,8,8,7,8,8,463
4,7,8,9,7,8,465
7,8,8,7,7,8,468
7,9,8,8,7,8,470
7,8,6,7,7,7,471
6,7,8,7,8,7,472
7,8,6,7,7,7,473
5,8,7,9,6,7,475
7,8,6,8,7,7,476
7,8,9,7,8,8,477
8,7,8,9,9,8,478
7,8,9,8,8,8,479
7,8,8,7,7,7,480
7,5,6,7,6,6,481
3,6,7,5,4,5,482
8,9,7,8,8,8,483
3,4,5,7,6,5,484
8,7,8,9,9,8,485
7,8,6,7,8,7,488
7,6,8,7,8,7,489
4,7,8,8,7,6,490
4,6,7,8,7,6,491
7,8,8,7,6,7,492
7,8,7,6,7,7,493
6,8,7,8,7,7,495
7,6,8,8,7,7,496
8,7,8,9,8,8,497
8,7,8,9,9,8,498
3,8,7,8,6,7,499
8,7,8,9,9,8,500
3,6,5,7,7,6,502
6,8,7,8,7,7,503
8,6,7,8,7,7,504
6,3,5,7,7,6,505
8,9,8,7,8,8,506
5,6,7,8,7,7,507
7,8,9,6,7,8,508
7,8,9,6,7,8,509
2,5,7,6,8,6,510
8,9,7,8,9,8,511
4,8,6,7,7,6,512
8,7,8,9,8,8,515
5,7,7,8,8,7,518
8,7,8,7,8,8,519
3,5,7,6,6,5,520
7,8,9,7,8,8,521
7,6,8,7,7,7,523
7,8,7,8,8,8,524
7,8,8,7,7,7,525
3,6,7,8,7,6,526
6,5,7,8,7,6,527
2,5,7,6,6,5,528
7,8,7,9,8,8,529
6,7,8,7,8,7,530
9,8,8,9,9,8,531
8,7,8,8,9,8,532
8,7,8,9,9,8,534
7,8,7,9,8,8,535
7,8,8,7,9,8,536
8,9,8,7,8,8,538
9,8,8,9,8,8,540
7,8,8,9,7,8,541
2,8,7,6,7,7,543
4,6,7,5,8,6,544
8,7,8,9,8,8,546
5,7,6,8,7,7,547
2,5,7,8,6,6,548
7,8,6,7,6,7,549
7,8,8,7,9,8,551
6,8,7,9,8,8,552
7,8,8,9,8,8,553
8,7,8,9,7,8,554
2,7,6,8,5,6,555
7,8,8,7,9,7,556
8,7,8,9,9,8,557
7,8,9,8,8,8,558
6,3,7,8,8,6,560
7,5,8,9,8,7,561
7,6,8,9,8,8,562
7,8,7,9,8,8,564
7,8,7,6,7,7,565
9,8,8,9,9,8,566
7,8,9,7,8,8,567
8,7,9,8,8,8,568
8,7,8,9,7,8,569
5,4,6,7,8,6,570
2,5,6,7,8,5,571
6,8,7,7,6,7,573
3,6,7,8,7,6,574
8,7,8,9,8,8,575
8,7,6,8,8,7,577
8,7,8,9,9,8,578
9,8,7,8,9,8,579
4,6,7,8,7,6,580
5,7,8,9,6,7,581
5,6,8,7,7,6,582
7,8,8,7,7,7,583
6,8,7,7,8,7,584
5,6,6,7,8,7,585
7,6,8,7,8,7,586
6,8,7,8,7,7,587
3,6,7,8,8,7,588
6,3,7,8,5,6,592
8,7,6,8,7,7,593
9,8,9,9,8,9,594
8,7,8,9,9,8,595
3,8,6,7,5,6,596
8,7,9,8,8,8,599
3,5,3,6,4,4,601
7,8,6,9,7,8,602
3,6,7,8,8,6,603
8,7,8,7,8,8,604
5,7,8,8,9,7,606
3,6,7,8,7,6,608
2,5,7,6,8,6,611
7,8,8,7,7,7,612
8,7,9,8,9,8,613
6,4,6,8,7,7,614
7,8,7,6,8,7,615
8,7,8,9,8,8,616
7,4,8,7,6,7,617
8,9,7,8,8,8,618
7,8,6,7,8,7,622
2,4,7,8,6,6,623
2,4,5,7,6,5,625
5,8,7,9,6,7,626
7,8,6,7,8,7,627
6,7,8,8,7,7,628
7,9,8,6,7,7,629
2,4,5,7,6,6,630
4,5,7,6,7,6,631
2,4,7,6,8,7,633
3,6,7,6,7,6,634
8,7,8,9,9,8,635
7,4,8,6,7,7,636
4,7,8,9,7,7,637
2,4,6,8,7,5,638
7,8,6,9,7,7,639
7,8,7,8,8,8,641
3,5,7,8,6,6,642
8,7,9,8,9,8,643
5,7,8,6,7,6,644
6,7,8,8,7,8,645
5,7,8,6,6,6,646
3,4,6,7,5,5,647
6,7,8,7,8,7,650
2,3,4,5,6,4,652
9,8,8,7,9,9,654
6,7,8,6,7,7,656
3,7,4,6,5,5,658
3,7,8,6,8,6,661
4,6,7,8,7,7,662
8,7,8,9,8,8,663
7,6,8,9,7,7,664
7,6,8,7,8,7,665
6,7,8,9,8,8,666
5,6,7,8,8,7,667
6,7,8,8,7,7,668
6,8,7,8,8,8,670
7,8,9,8,7,8,672
4,6,7,5,6,6,673
5,6,7,8,7,7,676
3,7,6,8,5,6,677
4,6,7,8,8,7,679
4,6,7,8,5,6,680
8,7,9,8,9,8,681
8,7,8,7,8,8,682
2,4,6,7,5,5,683
7,5,8,9,7,7,684
6,7,8,9,8,7,685
7,8,6,7,8,7,686
7,8,8,7,8,8,689
2,6,7,8,7,6,691
8,7,8,9,8,8,692
8,7,9,8,9,8,693
8,7,5,4,6,6,694
8,7,8,6,7,7,695
5,7,8,6,7,7,698
7,5,8,6,7,7,701
8,6,7,8,8,7,702
3,5,4,7,6,5,703
8,9,7,8,9,8,704
9,8,8,9,9,8,705
7,8,6,7,8,7,706
8,7,8,7,8,8,708
8,7,9,8,8,8,709
7,8,6,7,7,7,711
5,7,8,8,9,8,712
9,8,7,8,9,8,713
8,7,8,9,9,8,714
6,5,7,8,7,7,715
4,8,7,7,7,6,716
8,7,9,8,9,8,717
6,7,8,8,7,7,718
5,7,8,9,8,7,719
5,5,7,8,6,6,720
6,8,7,8,8,7,722
7,8,6,9,7,7,723
5,7,8,6,7,6,724
7,6,8,7,7,7,725
7,6,8,7,8,7,726
5,7,6,8,7,7,727
7,8,8,7,7,7,728
2,4,7,8,6,5,729
8,7,6,8,5,7,730
4,7,6,5,4,5,731
5,8,7,6,8,7,732
7,8,7,8,8,8,733
8,7,8,9,9,8,734
8,7,8,8,9,8,735
4,6,7,8,7,6,736
7,8,7,8,7,7,737
8,7,8,6,7,7,738
7,6,8,7,7,739
7,8,8,9,7,8,740
3,4,6,7,8,6,741
5,8,7,6,8,7,742
5,7,8,6,7,7,743
8,7,7,8,9,8,744
7,5,8,6,7,7,745
2,4,6,7,5,5,746
2,8,7,9,8,7,748
8,9,7,8,9,8,749
2,6,7,5,7,751
3,6,5,7,8,6,752
7,8,8,9,8,8,753
8,7,9,8,8,8,755
7,5,8,9,7,7,757
2,5,8,7,6,6,758
6,7,8,9,8,8,759
7,6,8,7,9,7,760
8,7,7,8,8,8,762
4,3,5,6,7,5,765
5,8,7,6,6,7,766
8,7,8,9,8,8,767
2,5,7,6,8,6,769
7,5,6,7,8,7,770
6,8,7,8,7,7,771
7,8,8,7,7,8,772
8,7,9,8,8,8,773
5,4,7,6,8,7,775
4,7,8,6,7,6,776
3,4,6,7,5,5,777
6,7,8,5,6,6,778
8,7,9,8,8,8,780
7,8,7,6,8,8,781
8,7,8,9,8,8,782
5,7,6,8,6,6,783
8,7,8,6,7,7,786
7,8,8,7,8,7,788
8,7,7,9,8,8,789
7,6,8,9,7,7,792
3,5,6,7,8,6,793
6,8,7,9,7,7,794
2,7,8,8,7,7,796
2,7,8,5,6,5,797
7,8,7,8,6,8,798
4,8,7,6,7,7,799
3,7,8,6,5,6,800
5,4,6,7,8,6,801
7,8,8,7,8,7,802
6,8,7,9,8,8,803
8,8,7,9,9,8,805
5,8,7,6,7,7,808
7,8,6,7,8,7,809
8,7,7,8,8,8,811
9,8,9,7,8,8,812
5,7,6,8,7,7,817
7,8,9,7,8,8,818
7,8,7,8,9,8,819
8,7,8,9,8,8,820
8,6,7,8,7,7,823
8,7,9,8,9,8,824
3,5,7,6,8,6,826
8,7,7,8,8,7,827
7,8,8,7,6,7,828
4,7,6,8,7,7,829
4,6,7,8,5,6,830
3,6,7,8,8,6,831
5,8,7,6,7,6,832
7,8,7,6,7,7,834
6,7,8,7,8,7,836
3,8,7,5,6,6,838
4,7,6,8,5,6,839
7,5,6,8,8,7,840
7,8,6,7,5,7,843
2,6,7,6,6,5,844
6,7,8,8,7,7,845
2,6,5,7,4,5,846
8,7,9,8,9,8,847
8,7,6,8,8,7,848
2,5,7,6,8,6,850
3,5,7,6,8,6,851
3,8,7,6,7,7,853
6,8,7,7,8,7,854
3,4,5,7,6,5,856
7,8,7,8,8,8,857
6,8,7,8,7,7,858
7,8,9,8,9,8,859
8,7,8,9,8,8,862
7,8,8,7,8,8,863
8,9,9,8,8,8,864
3,5,4,7,6,5,866
7,8,8,9,9,8,868
3,5,7,8,8,6,869
7,8,7,6,7,7,871
8,9,8,8,9,8,873
5,7,6,8,7,6,874
8,7,6,8,7,7,876
7,8,8,7,8,8,880
7,8,6,9,7,8,881
3,5,7,6,6,5,882
8,7,8,9,8,8,884
8,7,6,9,8,7,886
3,7,6,5,7,6,887
6,7,8,6,7,7,888
3,7,8,7,8,7,889
5,7,8,6,6,6,890
5,7,8,9,8,7,891
5,7,8,6,7,7,892
8,7,6,9,7,8,893
2,8,7,8,7,7,895
3,7,5,6,6,5,897
6,8,7,8,7,7,898
8,9,8,7,8,8,901
5,7,8,9,8,8,902
4,7,8,8,7,7,904
5,7,6,8,8,7,906
7,6,8,7,7,7,908
5,7,8,9,8,7,909
2,5,7,8,8,6,910
7,8,7,6,8,7,911
8,7,8,9,9,8,913
6,5,7,8,6,6,914
8,7,8,6,7,7,916
7,8,8,8,7,8,918
2,8,7,6,6,7,919
3,6,8,7,7,7,920
7,8,8,7,9,8,921
8,7,7,8,9,8,922
8,9,7,8,8,8,923
8,7,8,9,8,8,925
8,7,7,8,8,8,926
7,8,8,9,9,8,927
8,9,7,8,8,8,928
8,7,8,8,8,7,929
3,5,7,8,6,6,930
4,7,8,6,5,6,931
5,7,8,6,7,7,932
7,8,7,9,8,8,933
7,6,8,7,8,7,934
7,8,7,8,8,7,936
4,6,7,8,6,6,937
8,7,8,9,8,8,938
6,8,7,9,8,8,939
7,8,8,9,8,8,940
5,7,4,8,6,6,941
6,8,7,7,7,7,943
8,7,8,9,8,8,945
3,5,7,6,6,5,946
4,7,8,6,7,6,949
5,6,7,8,8,7,950
5,7,8,6,7,6,953
2,5,7,8,6,6,954
8,7,8,9,8,8,955
2,8,7,6,5,6,956
6,8,7,5,6,7,959
3,6,7,5,4,5,960
5,7,8,6,7,7,961
5,7,7,8,8,7,962
3,6,7,5,4,5,963
5,7,8,6,9,7,964
8,6,8,7,9,8,965
8,7,8,9,9,8,966
7,8,7,9,8,8,967
2,4,5,7,6,4,968
8,7,8,7,8,8,969
4,7,8,6,7,6,970
7,6,8,9,7,7,971
2,4,5,7,6,4,972
4,6,7,8,8,6,973
6,7,8,9,8,7,974
7,6,8,7,8,7,975
7,8,9,7,8,8,979
8,7,8,9,9,8,980
3,5,7,8,7,6,981
6,8,7,6,7,7,982
7,8,7,8,8,8,983
7,8,8,9,7,8,986
4,6,7,8,7,7,987
7,6,8,7,8,7,990
7,8,8,9,8,8,991
7,8,7,8,7,7,993
2,4,5,6,7,4,994
3,7,7,6,8,6,996
4,5,7,6,6,6,999
7,8,9,7,8,8,1001
8,7,8,7,8,8,1002
8,7,8,7,8,8,1003
2,4,6,7,5,5,1004
7,6,8,7,8,7,1005
6,5,7,8,6,6,1007
5,7,8,7,8,7,1009
7,8,8,7,8,8,1010
7,8,9,7,8,8,1011
7,8,8,9,7,8,1013
4,7,8,6,5,6,1014
8,7,8,9,8,8,1015
6,7,8,7,8,7,1017
7,8,7,8,8,8,1018
4,8,7,6,5,6,1019
5,7,6,8,7,7,1020
7,8,8,7,9,8,1021
8,7,9,8,8,8,1022
7,6,8,9,7,8,1024
4,6,7,5,5,5,1025
7,5,8,6,7,7,1027
6,7,8,7,8,7,1028
6,7,8,9,8,8,1029
8,7,8,7,8,8,1030
8,7,6,8,7,7,1031
4,8,7,6,8,7,1032
7,8,8,7,8,8,1035
6,8,7,8,7,7,1036
7,6,8,7,8,7,1037
6,7,8,8,7,7,1038
5,6,7,4,8,6,1040
5,7,8,6,8,7,1041
8,9,8,7,7,8,1042
6,7,8,7,8,7,1043
3,7,8,6,7,7,1045
8,9,8,7,8,8,1046
5,3,7,6,6,5,1047
6,5,7,8,7,7,1048
8,8,9,7,8,8,1049
6,8,7,7,8,7,1050
3,8,7,7,6,7,1052
8,7,8,8,8,7,1053
6,8,7,7,8,7,1054
5,7,8,6,7,7,1055
6,8,7,7,8,8,1057
7,8,8,7,6,7,1058
6,8,7,9,8,7,1059
2,5,7,6,4,5,1062
7,8,7,6,8,7,1063
6,7,8,5,7,7,1064
6,8,7,8,7,7,1065
3,6,7,5,4,5,1066
7,8,8,7,8,7,1067
7,8,8,9,7,8,1068
7,6,8,7,8,7,1071
4,8,7,6,5,7,1072
8,7,8,9,8,8,1073
7,6,8,7,8,7,1074
7,8,8,7,7,7,1075
7,6,8,9,7,7,1079
6,7,8,7,8,7,1080
3,7,8,6,7,6,1081
2,4,7,8,6,5,1083
7,8,7,8,9,8,1085
3,5,7,6,6,5,1086
4,8,7,6,7,7,1087
8,9,8,7,9,9,1088
2,4,6,4,5,5,1089
3,5,7,6,8,6,1090
3,5,7,8,6,6,1091
6,4,7,8,7,7,1092
2,5,7,6,3,5,1093
8,9,7,6,8,8,1094
3,5,6,7,8,5,1095
9,8,7,8,8,8,1096
6,4,7,8,7,6,1097
9,8,8,9,9,9,1098
0,2,4,6,6,4,1099
8,9,8,7,8,8,1100
3,7,6,8,5,6,1101
2,4,6,7,5,5,1102
8,6,7,8,9,8,1103
8,7,8,7,8,8,1104
8,6,7,5,7,7,1105
2,6,4,7,5,5,1106
8,7,6,7,8,8,1107
7,8,6,9,7,7,1108
7,6,8,7,7,7,1110
6,4,7,5,6,6,1112
7,8,7,8,8,8,1114
7,6,8,9,8,8,1116
7,8,7,8,8,8,1117
7,8,7,8,7,7,1120
6,7,8,5,7,7,1122
4,7,8,6,5,6,1123
3,7,6,8,5,6,1125
9,8,7,8,9,8,1126
8,9,7,9,8,8,1129
4,6,7,8,7,6,1130
4,5,7,6,6,6,1131
6,4,7,8,8,7,1133
7,8,8,7,6,7,1134
9,8,8,7,9,8,1135
3,7,8,6,5,6,1136
8,7,9,9,8,8,1138
7,8,9,7,8,8,1140
6,7,8,9,7,7,1143
8,7,8,9,9,8,1144
7,8,7,8,7,7,1145
8,7,8,7,8,7,1146
7,8,7,6,8,7,1148
1,8,7,6,6,7,1150
8,7,9,8,9,8,1152
7,8,6,7,8,7,1153
8,7,8,7,9,8,1154
7,8,8,6,7,7,1155
7,8,8,7,8,8,1156
7,8,6,7,8,7,1157
8,9,8,9,8,8,1158
6,7,6,5,4,6,1159
7,8,8,9,9,8,1160
6,5,7,8,7,7,1161
8,7,8,7,8,8,1162
3,5,7,6,5,6,1165
8,7,6,8,7,7,1166
6,5,7,8,7,6,1167
7,8,8,7,8,8,1169
8,8,7,9,8,8,1170
4,6,7,8,7,6,1171
3,5,6,8,7,6,1173
8,7,8,9,8,8,1174
5,7,8,6,7,6,1175
7,8,8,8,7,7,1176
6,7,5,8,7,7,1177
7,5,6,8,7,7,1178
8,9,7,9,8,8,1180
6,4,7,5,6,6,1181
8,7,6,7,8,7,1186
5,6,7,8,8,7,1187
8,7,6,8,7,7,1188
8,7,8,8,7,8,1189
2,5,7,8,6,6,1190
8,7,8,8,9,8,1191
8,7,7,8,8,8,1193
4,6,8,7,8,7,1195
6,4,7,8,7,6,1197
6,7,8,6,7,7,1198
8,7,8,6,8,7,1200
7,9,8,8,9,8,1201
6,8,7,9,8,8,1202
7,6,8,7,8,7,1203
8,7,8,8,9,8,1204
8,7,8,9,8,8,1205
3,7,5,6,5,5,1206
2,1,5,2,4,3,1207
5,7,8,8,7,7,1208
8,7,8,9,9,8,1209
5,8,7,6,7,7,1210
8,7,6,8,7,7,1211
8,7,9,8,8,8,1213
5,7,6,8,4,6,1214
5,8,7,7,8,7,1215
2,5,7,6,8,6,1217
8,7,8,9,9,8,1218
4,6,7,8,7,6,1220
8,7,6,8,9,7,1222
7,8,6,9,7,7,1223
6,7,8,8,7,7,1224
2,5,6,7,4,5,1226
9,8,9,7,9,8,1227
4,5,7,8,6,6,1228
5,7,6,8,7,7,1229
7,8,6,8,7,7,1230
6,8,7,9,7,7,1231
6,8,7,8,8,7,1232
7,8,7,6,7,7,1233
2,4,6,7,8,5,1234
8,7,9,8,9,8,1235
4,6,7,8,7,7,1236
7,8,8,7,7,8,1237
2,6,7,5,4,5,1238
4,6,7,5,6,6,1239
7,8,9,7,8,8,1240
7,8,8,7,8,8,1241
6,5,7,8,8,7,1242
4,5,6,7,8,6,1243
3,2,5,4,6,4,1245
8,7,6,8,7,8,1246
3,5,7,6,6,5,1247
7,8,9,7,8,8,1248
2,4,6,7,8,5,1249
9,8,9,7,8,8,1250
3,7,6,8,8,6,1251
7,8,7,8,8,8,1252
3,6,7,8,7,6,1253
2,4,5,7,6,5,1254
2,5,7,6,8,6,1255
9,8,7,6,8,8,1256
3,6,7,8,7,6,1257
9,8,8,7,7,8,1258
7,8,8,9,8,8,1259
2,5,6,4,6,5,1260
7,6,8,7,8,8,1261
8,7,6,8,7,7,1262
4,7,8,9,8,7,1264
6,7,8,8,7,7,1265
4,2,5,6,7,4,1266
2,3,4,7,6,4,1267
6,7,8,7,8,7,1268
5,7,8,6,7,7,1269
7,8,7,6,7,7,1270
6,7,8,8,7,7,1271
4,6,7,8,8,6,1272
4,7,8,6,6,6,1273
6,7,8,8,7,7,1274
7,6,8,7,8,7,1275
8,7,6,8,7,7,1276
7,5,8,7,8,7,1278
2,8,7,6,7,6,1279
8,7,8,6,7,7,1280
8,7,5,9,8,8,1281
8,9,7,8,9,8,1283
3,5,7,6,6,5,1284
3,5,6,8,7,5,1286
8,7,8,9,8,8,1289
3,6,7,8,7,7,1290
7,8,8,9,7,8,1291
8,7,8,9,9,8,1292
7,8,7,8,8,8,1293
7,8,7,9,8,8,1294
4,6,7,8,7,6,1295
2,7,5,6,4,5,1296
8,7,8,9,9,8,1297
5,7,7,7,8,7,1298
8,7,8,8,9,8,1299
8,9,9,8,8,8,1300
5,8,7,6,7,6,1301
6,5,7,8,7,6,1303
7,6,8,7,8,7,1304
8,8,7,6,8,7,1305
